,"SYMBOL 
",Sector Name
0,NIFTY PHARMA,NIFTY-PHARMA
1,ABBOTINDIA,NIFTY-PHARMA
2,GLAND,NIFTY-PHARMA
3,GRANULES,NIFTY-PHARMA
4,CIPLA,NIFTY-PHARMA
5,SUNPHARMA,NIFTY-PHARMA
6,ZYDUSLIFE,NIFTY-PHARMA
7,DIVISLAB,NIFTY-PHARMA
8,ALKEM,NIFTY-PHARMA
9,NATCOPHARM,NIFTY-PHARMA
10,BIOCON,NIFTY-PHARMA
11,GLENMARK,NIFTY-PHARMA
12,GLAXO,NIFTY-PHARMA
13,TORNTPHARM,NIFTY-PHARMA
14,PFIZER,NIFTY-PHARMA
15,LUPIN,NIFTY-PHARMA
16,AUROPHARMA,NIFTY-PHARMA
17,IPCALAB,NIFTY-PHARMA
18,DRREDDY,NIFTY-PHARMA
19,LAURUSLABS,NIFTY-PHARMA
20,SANOFI,NIFTY-PHARMA
